"","sst_3yr_running_mean","year"
"1965",5.56334790941089,"1965"
"1966",5.22748891405351,"1966"
"1967",5.48498505430913,"1967"
"1968",5.2448842248308,"1968"
"1969",5.50691824212847,"1969"
"1970",5.41316085503166,"1970"
"1971",5.30981908827143,"1971"
"1972",4.93209976372518,"1972"
"1973",4.78564243956647,"1973"
"1974",5.05967381464165,"1974"
"1975",5.0807870101301,"1975"
"1976",5.42422219257921,"1976"
"1977",5.42124978986311,"1977"
"1978",5.65285211574302,"1978"
"1979",5.6175159094402,"1979"
"1980",5.83770857307096,"1980"
"1981",5.88040800563469,"1981"
"1982",5.93167989329211,"1982"
"1983",6.07903145445143,"1983"
"1984",6.23153679326951,"1984"
"1985",6.04517974843956,"1985"
"1986",6.11941429961095,"1986"
"1987",6.10767244720062,"1987"
"1988",6.11809462259323,"1988"
"1989",5.77225296770149,"1989"
"1990",5.43939049615051,"1990"
"1991",5.57314207575718,"1991"
"1992",5.5905396085162,"1992"
"1993",5.91742887199264,"1993"
"1994",5.66538846194792,"1994"
"1995",5.58569107265692,"1995"
"1996",5.25786136741312,"1996"
"1997",5.73031561526959,"1997"
"1998",5.9496829912916,"1998"
"1999",5.97294782255472,"1999"
"2000",5.74809559187858,"2000"
"2001",5.48531331761962,"2001"
"2002",6.02973594486422,"2002"
"2003",5.99395334040012,"2003"
"2004",6.17449757738274,"2004"
"2005",5.74474794300224,"2005"
"2006",5.51469985746696,"2006"
"2007",5.28713589034778,"2007"
"2008",5.07856288367274,"2008"
"2009",5.33578692565694,"2009"
"2010",5.60748058888252,"2010"
"2011",5.59674442076948,"2011"
"2012",5.53583489924166,"2012"
"2013",5.58333335578221,"2013"
"2014",6.26548970320228,"2014"
"2015",6.64210318603169,"2015"
"2016",6.84264560730386,"2016"
"2017",6.53141916048542,"2017"
"2018",6.61550401281633,"2018"
"2019",6.58369702959069,"2019"
"2020",6.54413527780798,"2020"
"2021",5.96519316751355,"2021"
"2022",5.71649427968324,"2022"
"2023",NA,"2023"
"2024",NA,"2024"
